seconds_elapsed,x,y,z
0.0,-0.598,1.196,9.689
0.02,-0.676,1.196,9.375
0.04,-0.755,1.117,9.453
0.06,-0.755,0.961,9.453
0.08,-0.833,0.882,9.689
0.1,-0.833,0.961,10.081
0.12,-0.755,1.039,10.003
0.14,-0.519,1.274,9.218
0.16,-0.519,1.353,8.983
0.18,-0.441,1.274,9.297
0.2,-0.598,1.117,9.924
0.22,-0.755,0.961,10.003
0.24,-0.676,1.117,9.453
0.26,-0.362,1.196,9.218
0.28,-0.441,1.117,9.375
0.3,-0.755,0.961,9.532
0.32,-0.99,0.961,8.904
0.34,-1.147,0.961,8.277
0.36,-1.461,0.882,8.904
0.38,-1.225,0.882,11.101
0.4,-0.441,1.353,12.278
0.42,-0.049,1.902,12.199
0.44,-2.245,1.824,9.924
0.46,-0.833,2.687,14.945
0.48,3.089,1.274,19.025
0.5,4.972,1.51,24.595
0.52,4.579,-1.157,27.185
0.54,3.716,-2.804,29.538
0.56,0.264,-4.609,28.204
0.58,0.892,-3.589,23.34
0.6,6.148,-2.02,21.379
0.62,5.599,-2.961,17.221
0.64,5.05,-3.667,12.827
0.66,6.148,-3.903,8.669
0.68,5.992,-4.373,4.04
0.7000000000000001,5.364,-2.804,-4.825
0.72,5.05,-1.549,-13.612
0.74,2.226,-2.647,-15.808
0.76,-2.873,-5.707,-16.593
0.78,-6.874,-7.433,-21.3
0.8,-6.09,-6.413,-24.203
0.8200000000000001,-3.108,-5.315,-23.026
0.84,-1.618,-5.236,-21.457
0.86,-0.049,-5.472,-18.319
0.88,2.304,-5.786,-12.906
0.9,5.756,-5.158,-8.59
0.92,9.208,-4.53,-4.432
0.9400000000000001,13.445,-2.412,6.08
0.96,12.739,-1.0,15.573
0.98,14.308,-0.215,18.084
1.0,19.486,-0.921,29.146
1.02,14.7,-4.295,34.638
1.04,11.562,-4.609,37.462
1.06,8.816,-2.726,32.912
1.08,4.344,-3.04,29.695
1.1,2.696,-2.961,29.303
1.12,5.599,-2.412,29.067
1.1400000000000001,9.522,-2.255,24.831
1.16,13.053,-2.02,15.495
1.18,14.386,-1.235,2.549
1.2,12.347,-0.451,-9.846
1.22,8.894,-0.451,-14.788
1.24,4.422,-1.471,-12.984
1.26,1.127,-2.961,-11.572
1.28,-2.481,-4.609,-19.339
1.3,-5.07,-4.295,-27.655
1.32,-4.128,-3.589,-26.321
1.34,-2.716,-3.432,-20.359
1.36,-1.147,-3.353,-14.945
1.3800000000000001,1.206,-2.804,-10.709
1.4000000000000001,3.716,-2.569,-9.532
1.42,4.815,-2.726,-7.806
1.44,4.972,-3.353,-3.726
1.46,10.464,-1.706,3.177
1.48,20.427,3.393,15.181
1.5,16.583,1.51,27.655
1.52,10.699,0.725,33.932
1.54,11.797,1.667,37.07
1.56,9.679,2.137,36.285
1.58,6.462,1.196,36.442
1.6,5.678,0.882,34.402
1.62,5.364,0.411,34.167
1.6400000000000001,5.756,-0.608,31.264
1.6600000000000001,7.09,-0.686,23.968
1.68,9.13,0.961,17.221
1.7,10.699,1.353,12.827
1.72,10.071,0.961,7.021
1.74,8.973,0.882,1.529
1.76,8.11,-0.215,-3.883
1.78,5.442,-2.177,-12.592
1.8,0.421,-5.55,-20.673
1.82,-4.913,-7.669,-25.302
1.84,-7.031,-6.806,-27.891
1.86,-4.364,-4.766,-25.772
1.8800000000000001,-1.304,-3.197,-20.908
1.9000000000000001,0.107,-2.49,-15.651
1.92,1.206,-2.177,-11.493
1.94,2.461,-2.098,-8.747
1.96,3.246,-3.04,-5.844
1.98,6.07,-3.197,-1.216
2.0,10.62,-1.549,4.981
2.02,12.425,-0.451,10.003
2.04,11.013,-2.02,17.299
2.06,9.522,-2.569,28.754
2.08,9.993,-2.255,34.167
2.1,6.619,-0.137,21.693
2.12,4.422,0.961,13.298
2.14,3.716,0.411,17.77
2.16,3.795,0.098,23.732
2.18,2.932,-0.372,21.849
2.2,1.363,0.411,13.219
2.22,1.676,1.196,10.003
2.24,0.97,0.647,12.199
2.2600000000000002,1.363,0.49,13.612
2.2800000000000002,1.912,0.568,12.435
2.3000000000000003,0.97,0.411,10.552
2.32,0.578,0.254,11.179
2.34,0.735,0.176,11.729
2.36,0.97,0.411,10.395
2.38,0.892,0.647,8.747
2.4,0.657,0.725,8.904
2.42,0.578,0.725,10.63
2.44,0.578,0.568,11.336
2.46,0.578,0.333,10.003
2.48,0.343,0.411,8.355
2.5,-0.049,0.176,8.59
2.52,-0.049,0.254,10.709
2.54,-0.127,-0.058,11.729
2.56,0.107,0.254,10.081
2.58,0.186,0.568,7.727
2.6,0.264,0.804,7.492
2.62,0.029,0.49,9.297
2.64,0.107,0.333,11.179
2.66,0.343,0.411,10.395
2.68,0.421,0.647,7.963
2.7,0.264,0.804,7.806
2.72,0.107,0.568,9.689
2.74,0.107,0.411,11.179
2.7600000000000002,0.186,0.49,10.552
2.7800000000000002,0.264,0.725,8.747
2.8000000000000003,0.5,0.961,8.355
2.82,0.5,0.961,9.532
2.84,0.107,0.725,10.395
2.86,0.343,0.647,10.473
2.88,0.421,0.804,9.375
2.9,0.421,0.961,8.826
2.92,0.343,0.804,9.453
2.94,0.107,0.568,10.395
2.96,0.264,0.568,10.63
2.98,0.421,0.725,9.846
3.0,0.421,0.882,9.297
3.02,0.421,0.961,9.846
3.04,0.421,0.804,10.316
3.06,0.343,0.961,9.453
3.08,0.657,1.353,7.963
3.1,0.657,1.745,8.12
3.12,0.343,1.353,9.924
3.14,0.029,0.725,11.964
3.16,0.029,0.333,12.121
3.18,0.186,0.333,10.238
3.2,0.264,0.647,8.198
3.22,0.421,0.961,7.963
3.24,0.421,1.117,9.14
3.2600000000000002,0.264,0.961,10.63
3.2800000000000002,0.264,0.804,10.709
3.3000000000000003,0.186,0.725,9.453
3.3200000000000003,0.264,0.961,8.747
3.34,0.264,1.039,9.218
3.36,0.186,0.961,10.395
3.38,0.264,0.804,10.709
3.4,0.343,0.961,9.689
3.42,0.578,1.196,8.983
3.44,0.343,1.117,9.218
3.46,0.264,0.961,9.767
3.48,0.421,1.039,10.081
3.5,0.264,0.882,9.846
3.52,0.421,1.039,9.375
3.54,0.421,1.117,9.375
3.56,0.343,1.117,9.689
3.58,0.107,0.882,9.846
3.6,0.186,0.804,9.924
3.62,0.107,0.804,9.61
3.64,0.186,0.882,9.61
3.66,0.264,0.882,9.846
3.68,0.186,0.804,9.924
3.7,0.186,0.882,9.61
3.72,0.264,1.039,9.297
3.74,0.186,0.961,9.375
3.7600000000000002,0.029,0.804,9.924
3.7800000000000002,-0.049,0.804,10.081
3.8000000000000003,0.107,0.961,9.689
3.8200000000000003,0.264,1.196,9.375
3.84,0.264,1.117,9.453
3.86,0.107,1.039,10.003
3.88,0.029,0.882,10.238
3.9,-0.049,0.725,10.003
3.92,0.186,0.961,9.689
3.94,0.264,1.117,9.297
3.96,0.107,0.961,9.767
3.98,-0.049,0.804,10.16
4.0,-0.127,0.647,10.081
4.0200000000000005,0.186,0.961,9.532
4.04,0.186,1.353,8.747
4.0600000000000005,0.5,1.196,8.826
4.08,0.186,1.274,9.218
4.1,0.186,1.196,9.767
4.12,0.343,1.353,10.081
4.14,0.264,1.274,9.846
