seconds_elapsed,x,y,z
0.0,0.078719,-0.030689,-0.081679
0.02,0.078719,-0.030689,-0.081679
0.04,0.102692,-0.074124,-0.098855
0.06,0.102692,-0.074124,-0.098855
0.08,0.078496,-0.075933,-0.0804
0.1,0.078496,-0.075933,-0.0804
0.12,0.069857,-0.075506,-0.074484
0.14,0.069857,-0.075506,-0.074484
0.16,0.057174,-0.067226,-0.071132
0.18,0.057174,-0.067226,-0.071132
0.2,0.037387,-0.051055,-0.068216
0.22,0.037387,-0.051055,-0.068216
0.24,-0.00244,-0.042141,-0.039673
0.26,-0.00244,-0.042141,-0.039673
0.28,-0.04181,-0.035485,-0.006101
0.3,-0.04181,-0.035485,-0.006101
0.32,-0.04077,-0.051537,-0.003978
0.34,-0.04077,-0.051537,-0.003978
0.36,-0.02673,-0.084501,-0.01471
0.38,-0.02673,-0.084501,-0.01471
0.4,-0.029552,-0.106417,-0.013217
0.42,-0.029552,-0.106417,-0.013217
0.44,-0.026693,-0.112791,-0.021713
0.46,-0.026693,-0.112791,-0.021713
0.48,-0.04623,-0.091331,-0.011074
0.5,-0.04623,-0.091331,-0.011074
0.52,-0.047026,-0.069769,-0.011963
0.54,-0.047026,-0.069769,-0.011963
0.56,-0.136881,0.051684,0.06596
0.58,-0.136881,0.051684,0.06596
0.6,-0.147245,0.08432,0.075893
0.62,-0.147245,0.08432,0.075893
0.64,-0.145394,0.145021,0.061577
0.66,-0.145394,0.145021,0.061577
0.68,-0.133317,0.259053,0.044857
0.7000000000000001,-0.133317,0.259053,0.044857
0.72,-0.038372,0.441378,-0.010678
0.74,-0.038372,0.441378,-0.010678
0.76,0.018827,0.676161,-0.030587
0.78,0.018827,0.676161,-0.030587
0.8,0.330824,0.960912,-0.174102
0.8200000000000001,0.330824,0.960912,-0.174102
0.84,0.765876,1.511028,-0.360953
0.86,0.765876,1.511028,-0.360953
0.88,1.336973,2.013869,-0.639492
0.9,1.336973,2.013869,-0.639492
0.92,1.518884,2.208931,-0.742552
0.9400000000000001,1.518884,2.208931,-0.742552
0.96,1.247811,2.23179,-0.591003
0.98,1.247811,2.23179,-0.591003
1.0,0.944967,1.831732,-0.412367
1.02,0.944967,1.831732,-0.412367
1.04,-0.2612,0.675991,0.131699
1.06,-0.2612,0.675991,0.131699
1.08,-0.413209,-0.139231,0.221285
1.1,-0.413209,-0.139231,0.221285
1.12,-0.637942,-0.821634,0.281795
1.1400000000000001,-0.637942,-0.821634,0.281795
1.16,-0.670243,-0.89315,0.239109
1.18,-0.670243,-0.89315,0.239109
1.2,-0.516944,-1.039347,0.173612
1.22,-0.516944,-1.039347,0.173612
1.24,-0.537853,-0.944536,0.163055
1.26,-0.537853,-0.944536,0.163055
1.28,-0.304866,-1.056854,0.082319
1.3,-0.304866,-1.056854,0.082319
1.32,-0.290334,-0.944112,0.076871
1.34,-0.290334,-0.944112,0.076871
1.36,-0.214004,-0.868102,0.042434
1.3800000000000001,-0.214004,-0.868102,0.042434
1.4000000000000001,-0.164333,-0.868792,0.016586
1.42,-0.164333,-0.868792,0.016586
1.44,-0.134105,-0.808668,-0.003985
1.46,-0.134105,-0.808668,-0.003985
1.48,-0.1057,-0.782282,-0.028177
1.5,-0.1057,-0.782282,-0.028177
1.52,-0.090714,-0.672644,-0.048721
1.54,-0.090714,-0.672644,-0.048721
1.56,-0.11195,-0.54975,-0.042012
1.58,-0.11195,-0.54975,-0.042012
1.6,-0.124156,-0.466497,-0.035232
1.62,-0.124156,-0.466497,-0.035232
1.6400000000000001,-0.160048,-0.381706,-0.004148
1.6600000000000001,-0.160048,-0.381706,-0.004148
1.68,-0.16892,-0.348542,0.006285
1.7,-0.16892,-0.348542,0.006285
1.72,-0.171838,-0.303496,0.01199
1.74,-0.171838,-0.303496,0.01199
1.76,-0.181471,-0.252224,0.024118
1.78,-0.181471,-0.252224,0.024118
1.8,-0.17569,-0.209187,0.024163
1.82,-0.17569,-0.209187,0.024163
1.84,-0.160454,-0.167775,0.019793
1.86,-0.160454,-0.167775,0.019793
1.8800000000000001,-0.128459,-0.136555,-5.81E-4
1.9000000000000001,-0.128459,-0.136555,-5.81E-4
1.92,-0.100971,-0.113623,-0.022403
1.94,-0.100971,-0.113623,-0.022403
1.96,-0.083804,-0.091662,-0.030377
1.98,-0.083804,-0.091662,-0.030377
2.0,-0.064083,-0.074641,-0.041019
2.02,-0.064083,-0.074641,-0.041019
2.04,-0.050949,-0.057124,-0.037485
2.06,-0.050949,-0.057124,-0.037485
2.08,-0.02087,-0.051756,-0.050212
2.1,-0.02087,-0.051756,-0.050212
2.12,-0.005361,-0.040771,-0.053077
2.14,-0.005361,-0.040771,-0.053077
2.16,-0.002602,-0.026036,-0.039478
2.18,-0.002602,-0.026036,-0.039478
2.2,0.014557,-0.019192,-0.025523
2.22,0.014557,-0.019192,-0.025523
2.24,0.016001,-0.004684,0.003811
2.2600000000000002,0.016001,-0.004684,0.003811
2.2800000000000002,0.016382,5.61E-4,0.023993
2.3000000000000003,0.016382,5.61E-4,0.023993
2.32,0.015352,0.013928,0.040154
2.34,0.015352,0.013928,0.040154
2.36,0.015989,0.011667,0.049254
2.38,0.015989,0.011667,0.049254
2.4,0.036208,0.003893,0.039005
2.42,0.036208,0.003893,0.039005
2.44,0.032442,0.002514,0.047074
2.46,0.032442,0.002514,0.047074
2.48,0.038467,-0.008604,0.044153
2.5,0.038467,-0.008604,0.044153
