seconds_elapsed,x,y,z
0.0,0.578,1.196,9.532
0.02,0.343,1.196,10.003
0.04,0.186,0.882,10.238
0.06,0.264,0.725,9.924
0.08,0.578,0.882,9.375
0.1,1.049,1.431,9.453
0.12,0.813,1.196,9.61
0.14,0.421,0.804,9.846
0.16,0.264,0.647,10.16
0.18,0.657,0.882,9.767
0.2,0.735,1.039,9.218
0.22,0.735,1.039,9.297
0.24,0.578,0.961,9.61
0.26,0.421,0.725,10.16
0.28,0.421,0.804,10.003
0.3,0.578,0.961,9.689
0.32,0.735,1.117,9.532
0.34,0.735,1.196,9.689
0.36,0.5,1.039,10.003
0.38,0.421,0.882,10.16
0.4,0.5,0.882,10.16
0.42,0.735,1.117,10.081
0.44,0.657,1.196,10.081
0.46,0.421,1.039,10.16
0.48,0.264,0.882,10.552
0.5,0.186,0.882,11.179
0.52,0.107,0.804,11.729
0.54,0.186,1.039,11.415
0.56,0.107,1.117,10.787
0.58,0.029,1.274,10.552
0.6,0.107,1.274,10.63
0.62,0.029,1.196,10.395
0.64,-0.127,1.117,9.767
0.66,-0.127,0.961,9.532
0.68,-0.049,0.961,9.532
0.7000000000000001,-0.127,0.882,9.846
0.72,-0.441,0.961,10.238
0.74,-0.676,0.961,10.238
0.76,-0.676,1.117,9.846
0.78,-0.755,1.196,9.767
0.8,-0.755,1.196,10.081
0.8200000000000001,-1.068,1.196,10.395
0.84,-0.99,1.274,10.395
0.86,-1.147,1.353,10.16
0.88,-1.147,1.431,9.924
0.9,-1.304,1.51,10.238
0.92,-1.461,1.353,10.395
0.9400000000000001,-1.775,1.353,10.16
0.96,-1.931,1.353,10.238
0.98,-2.01,1.51,10.395
1.0,-2.088,1.51,10.238
1.02,-2.324,1.431,9.924
1.04,-2.559,1.431,9.532
1.06,-2.481,1.51,9.61
1.08,-2.559,1.667,9.532
1.1,-2.951,1.51,9.218
1.12,-3.187,1.588,8.983
1.1400000000000001,-3.265,1.588,9.218
1.16,-3.265,1.588,9.453
1.18,-3.658,1.51,8.669
1.2,-3.814,1.667,8.434
1.22,-3.814,1.902,8.12
1.24,-3.893,1.981,8.355
1.26,-4.207,1.902,8.669
1.28,-4.521,1.824,8.355
1.3,-4.599,1.981,7.884
1.32,-4.599,2.216,7.414
1.34,-4.521,2.451,7.649
1.36,-4.834,2.216,8.512
1.3800000000000001,-5.305,1.981,8.12
1.4000000000000001,-5.54,1.902,7.414
1.42,-5.54,2.137,6.786
1.44,-5.227,2.373,6.707
1.46,-5.697,2.137,6.943
1.48,-6.247,1.745,8.277
1.5,-6.56,1.588,8.355
1.52,-6.011,2.059,6.864
1.54,-5.619,2.608,5.609
1.56,-6.011,2.608,5.923
1.58,-6.639,2.294,6.394
1.6,-7.031,2.059,6.472
1.62,-6.796,2.373,6.315
1.6400000000000001,-6.639,2.53,6.001
1.6600000000000001,-6.874,2.53,5.138
1.68,-7.11,2.373,4.668
1.7,-7.423,2.294,5.531
1.72,-7.423,2.373,6.001
1.74,-7.423,2.373,5.531
1.76,-7.58,2.451,4.981
1.78,-7.58,2.608,4.903
1.8,-7.659,2.608,4.825
1.82,-7.973,2.451,4.668
1.84,-8.051,2.451,4.903
1.86,-8.208,2.373,5.138
1.8800000000000001,-8.208,2.451,4.511
1.9000000000000001,-8.13,2.687,3.726
1.92,-8.13,2.765,3.569
1.94,-8.286,2.53,3.491
1.96,-8.443,2.373,3.883
1.98,-8.443,2.294,3.726
2.0,-8.443,2.373,2.863
2.02,-8.286,2.608,2.392
2.04,-8.286,2.765,1.843
2.06,-8.522,2.687,1.294
2.08,-8.757,2.687,1.216
2.1,-8.993,2.608,1.765
2.12,-8.757,2.922,1.843
2.14,-8.286,3.471,1.765
2.16,-8.13,3.471,1.922
2.18,-8.914,2.922,2.079
2.2,-9.149,2.373,1.922
2.22,-9.149,2.294,1.372
2.24,-9.385,2.373,1.059
2.2600000000000002,-9.699,1.902,1.686
2.2800000000000002,-9.934,1.353,1.529
2.3000000000000003,-9.62,1.51,0.431
2.32,-9.071,2.059,-0.745
2.34,-8.522,2.844,-1.529
2.36,-7.737,3.707,-0.666
2.38,-7.659,3.785,-0.274
2.4,-8.914,3.157,-0.431
2.42,-10.091,2.294,0.039
2.44,-9.934,2.216,0.745
2.46,-9.228,2.373,0.274
2.48,-9.228,2.608,-0.745
2.5,-9.306,2.608,-0.274
2.52,-9.149,2.765,-0.274
2.54,-9.228,2.844,-0.666
2.56,-8.836,2.765,-1.137
2.58,-8.679,2.53,-1.843
2.6,-8.286,2.765,-1.765
2.62,-8.522,2.844,-1.372
2.64,-8.836,2.687,-0.588
2.66,-9.071,2.608,-0.431
2.68,-8.522,3.079,-1.529
2.7,-8.365,3.079,-1.922
2.72,-8.757,2.922,-1.137
2.74,-8.365,3.0,0.902
2.7600000000000002,-8.6,2.53,0.431
2.7800000000000002,-9.149,2.137,-0.039
2.8000000000000003,-8.993,2.137,0.666
2.82,-8.757,2.216,1.529
2.84,-8.757,2.216,0.98
2.86,-8.836,2.373,0.666
2.88,-8.679,2.53,2.0
2.9,-8.286,2.765,3.883
2.92,-8.757,2.373,3.805
2.94,-9.463,1.902,2.628
2.96,-9.071,2.137,2.706
2.98,-8.286,2.451,3.569
3.0,-8.365,1.981,3.805
3.02,-8.993,1.667,3.02
3.04,-8.679,1.981,3.962
3.06,-7.973,2.451,4.275
3.08,-7.58,2.451,3.02
3.1,-7.816,2.451,2.785
3.12,-7.894,2.216,4.903
3.14,-7.894,1.981,6.786
3.16,-7.58,1.981,5.766
3.18,-7.423,2.294,3.726
3.2,-6.639,2.922,3.805
3.22,-6.325,2.922,6.158
3.24,-7.11,1.981,7.806
3.2600000000000002,-7.894,1.588,6.472
3.2800000000000002,-7.659,2.059,4.825
3.3000000000000003,-6.482,2.608,5.374
3.3200000000000003,-6.482,2.294,6.786
3.34,-7.659,1.196,8.041
3.36,-7.345,1.196,7.021
3.38,-6.56,1.824,6.551
3.4,-5.697,2.451,6.629
3.42,-6.09,1.902,7.414
3.44,-6.09,1.588,7.335
3.46,-5.619,1.745,8.59
3.48,-5.697,1.824,9.61
3.5,-5.933,1.745,8.826
3.52,-5.933,1.902,6.786
3.54,-4.913,2.373,5.217
3.56,-4.521,2.53,6.394
3.58,-4.991,2.137,8.904
3.6,-5.54,1.51,9.767
3.62,-5.462,1.588,7.1
3.64,-4.207,2.216,5.452
3.66,-3.814,2.294,6.629
3.68,-4.285,2.059,9.218
3.7,-4.521,1.667,9.924
3.72,-4.207,1.667,8.041
3.74,-3.658,2.059,7.257
3.7600000000000002,-3.187,2.216,8.434
3.7800000000000002,-3.422,1.902,9.375
3.8000000000000003,-3.422,1.667,9.453
3.8200000000000003,-3.108,1.902,9.453
3.84,-2.873,1.902,9.689
3.86,-2.873,1.824,9.061
3.88,-2.716,1.667,8.747
3.9,-2.559,1.588,9.532
3.92,-2.245,1.745,10.473
3.94,-2.245,1.588,10.63
3.96,-2.402,1.431,9.218
3.98,-1.539,1.667,8.041
4.0,-1.304,1.824,9.375
4.0200000000000005,-1.618,1.667,11.101
4.04,-1.775,1.51,10.944
4.0600000000000005,-0.912,1.902,8.59
4.08,-0.912,1.745,8.434
4.1,-1.147,1.51,10.238
4.12,-1.382,1.274,11.729
4.14,-0.755,1.431,9.924
4.16,-0.284,1.745,8.512
4.18,-0.284,1.667,9.375
4.2,-0.519,1.51,10.866
4.22,-0.519,1.196,10.552
4.24,-0.049,1.51,9.767
4.26,0.029,1.431,10.003
4.28,-0.049,1.353,10.709
4.3,-0.284,1.117,10.63
4.32,0.029,1.117,9.846
4.34,0.5,1.588,9.767
4.36,0.264,1.353,10.395
4.38,0.186,1.274,10.787
4.4,0.186,1.274,10.081
4.42,0.343,1.274,9.846
4.44,0.578,1.274,10.16
4.46,0.421,1.196,10.395
4.48,0.107,0.961,10.316
4.5,0.578,1.196,9.767
4.5200000000000005,0.892,1.51,9.218
4.54,0.5,1.274,9.689
4.5600000000000005,0.343,1.039,10.238
4.58,0.735,1.274,10.081
4.6000000000000005,0.813,1.274,10.003
4.62,1.049,1.431,9.689
4.64,0.735,1.196,10.003
4.66,0.657,0.961,10.16
4.68,0.735,0.961,10.395
4.7,0.813,1.039,10.473
4.72,0.735,1.117,10.003
4.74,0.735,1.117,9.689
4.76,0.735,1.039,9.767
4.78,0.892,1.117,10.16
4.8,0.892,1.039,10.081
4.82,0.735,0.961,9.767
4.84,0.892,1.039,9.532
4.86,1.049,1.117,9.61
4.88,0.892,0.961,10.003
4.9,0.813,1.039,10.081
4.92,0.892,1.039,9.689
4.94,1.049,1.196,9.297
4.96,0.97,1.117,9.375
4.98,0.813,0.882,9.846
5.0,0.813,0.804,10.003
5.0200000000000005,0.735,0.961,9.61
5.04,1.206,1.196,9.375
5.0600000000000005,1.049,1.196,9.532
5.08,0.813,1.039,9.689
5.1000000000000005,0.735,0.882,9.846
5.12,0.813,0.961,9.924
5.14,0.813,1.117,9.924
5.16,0.892,1.117,9.767
5.18,0.813,1.117,9.61
5.2,0.813,1.039,9.689
5.22,0.813,1.039,9.924
5.24,0.813,0.961,9.846
5.26,0.813,1.039,9.532
5.28,0.892,1.117,9.375
5.3,0.97,1.196,9.453
5.32,0.892,1.039,9.532
5.34,0.813,0.961,9.767
5.36,0.578,0.961,9.924
5.38,0.892,1.196,9.689
5.4,1.127,1.353,9.297
5.42,0.892,0.882,9.375
5.44,0.813,0.961,9.61
5.46,0.892,1.039,9.689
5.48,0.97,1.274,9.767
5.5,0.813,1.274,9.767
5.5200000000000005,0.735,1.117,10.003
5.54,0.578,0.961,9.924
5.5600000000000005,0.657,0.961,9.767
5.58,0.892,1.196,9.61
5.6000000000000005,0.97,1.274,9.532
5.62,0.97,1.274,9.532
5.64,0.657,1.196,9.846
5.66,0.5,0.961,10.081
5.68,0.578,0.882,9.924
5.7,1.049,1.353,9.375
5.72,0.97,1.431,9.375
5.74,0.892,1.353,9.61
5.76,0.892,1.353,9.532
5.78,0.578,0.882,9.767
5.8,0.421,0.725,9.924
5.82,0.892,1.117,9.532
5.84,0.97,1.353,9.218
5.86,0.892,1.274,9.297
5.88,0.657,1.039,9.532
5.9,0.5,0.961,9.61
5.92,0.657,1.039,9.689
5.94,0.813,1.196,9.767
5.96,0.892,1.431,9.767
5.98,0.813,1.353,9.846
6.0,0.5,1.117,9.689
6.0200000000000005,0.421,0.961,9.846
6.04,0.735,1.039,9.689
6.0600000000000005,0.657,1.117,9.767
6.08,0.813,1.274,9.767
6.1000000000000005,0.813,1.196,9.61
6.12,0.421,0.882,9.767
6.140000000000001,0.578,0.961,9.846
6.16,0.735,1.196,9.689
6.18,0.892,1.353,9.532
6.2,0.813,1.274,9.689
6.22,0.657,1.117,9.846
6.24,0.5,0.961,9.689
6.26,0.578,1.039,9.453
6.28,0.892,1.353,9.689
6.3,0.97,1.51,10.003
6.32,0.657,1.274,9.924
6.34,0.5,1.117,9.689
6.36,0.657,1.117,9.297
6.38,0.892,1.274,9.61
6.4,0.813,1.274,10.003
6.42,0.578,1.117,10.081
6.44,0.5,1.039,9.924
6.46,0.578,1.274,9.689
6.48,0.892,1.431,9.375
6.5,0.813,1.51,9.297
6.5200000000000005,0.657,1.274,9.846
6.54,0.421,1.039,10.003
6.5600000000000005,0.5,0.961,9.767
6.58,0.735,1.196,9.532
6.6000000000000005,0.892,1.431,9.532
6.62,0.735,1.431,9.689
6.640000000000001,0.5,1.196,9.767
6.66,0.343,0.961,9.532
6.68,0.578,1.117,9.375
6.7,0.892,1.431,9.532
6.72,0.735,1.431,9.846
6.74,0.578,1.274,9.924
6.76,0.421,1.117,9.689
6.78,0.5,1.117,9.61
6.8,0.735,1.274,9.767
6.82,0.813,1.431,9.846
6.84,0.735,1.431,9.375
6.86,0.657,1.431,9.375
6.88,0.578,1.274,9.61
6.9,0.578,1.274,9.846
6.92,0.735,1.353,9.767
6.94,0.735,1.353,9.532
6.96,0.657,1.353,9.453
6.98,0.657,1.196,9.61
7.0,0.578,1.196,9.846
7.0200000000000005,0.578,1.274,9.924
7.04,0.735,1.431,9.846
7.0600000000000005,0.657,1.353,9.689
7.08,0.5,1.196,9.689
7.1000000000000005,0.657,1.274,9.61
7.12,0.657,1.274,9.689
7.140000000000001,0.578,1.117,10.081
7.16,0.5,1.117,9.924
7.18,0.735,1.353,9.375
7.2,0.735,1.274,9.375
7.22,0.657,1.274,9.61
7.24,0.578,1.117,9.846
7.26,0.735,1.196,9.689
7.28,0.735,1.51,9.532
7.3,0.578,1.51,9.924
7.32,0.421,1.353,9.924
7.34,0.343,1.039,9.846
7.36,0.421,1.039,9.61
7.38,0.735,1.196,9.532
7.4,0.735,1.353,9.689
7.42,0.578,1.353,9.846
7.44,0.421,1.196,9.924
7.46,0.421,1.196,9.689
7.48,0.578,1.196,9.61
7.5,0.657,1.353,9.846
7.5200000000000005,0.735,1.431,9.689
7.54,0.735,1.353,9.532
7.5600000000000005,0.578,1.353,9.689
7.58,0.421,1.196,9.846
7.6000000000000005,0.578,1.353,9.61
7.62,0.735,1.51,9.453
7.640000000000001,0.892,1.588,9.375
7.66,0.657,1.431,9.61
7.68,0.343,1.274,9.924
7.7,0.343,1.117,9.689
7.72,0.657,1.274,9.61
7.74,0.892,1.588,9.453
7.76,0.813,1.588,9.375
7.78,0.5,1.353,9.846
7.8,0.264,1.039,10.003
7.82,0.264,1.039,9.61
7.84,0.578,1.353,9.297
7.86,0.813,1.667,9.453
7.88,0.578,1.431,9.924
7.9,0.264,1.039,10.081
7.92,0.186,0.961,9.846
7.94,0.343,1.117,9.453
7.96,0.578,1.431,9.532
7.98,0.578,1.51,9.689
8.0,0.343,1.274,9.767
8.02,0.264,1.117,9.689
8.040000000000001,0.421,1.353,9.297
8.06,0.735,1.588,9.453
8.08,0.5,1.431,9.767
8.1,0.186,1.196,10.081
8.120000000000001,0.186,1.117,9.767
8.14,0.5,1.274,9.297
8.16,0.578,1.51,9.375
8.18,0.578,1.51,9.767
8.2,0.264,1.274,10.16
8.22,0.186,1.196,9.846
8.24,0.343,1.196,9.532
8.26,0.578,1.431,9.532
8.28,0.5,1.431,9.767
8.3,0.343,1.431,9.924
8.32,0.264,1.353,9.846
8.34,0.343,1.431,9.532
8.36,0.5,1.588,9.61
8.38,0.421,1.51,9.846
8.4,0.421,1.431,9.767
8.42,0.421,1.431,9.767
8.44,0.5,1.353,9.61
8.46,0.421,1.353,9.689
8.48,0.343,1.274,9.61
8.5,0.264,1.353,9.532
8.52,0.421,1.431,9.532
8.540000000000001,0.421,1.431,9.453
8.56,0.343,1.353,9.689
8.58,0.264,1.196,9.767
8.6,0.5,1.353,9.767
8.620000000000001,0.578,1.431,9.689
8.64,0.343,1.274,9.767
8.66,0.264,1.196,9.767
8.68,0.264,1.039,9.767
8.700000000000001,0.421,1.353,9.61
8.72,0.5,1.51,9.767
8.74,0.421,1.431,9.767
8.76,0.578,1.51,9.689
8.78,0.343,1.353,9.61
8.8,0.264,1.274,9.689
8.82,0.421,1.353,9.61
8.84,0.578,1.588,9.61
8.86,0.578,1.588,9.532
8.88,0.421,1.353,9.767
8.9,0.264,1.274,9.846
8.92,0.343,1.353,9.532
8.94,0.5,1.431,9.297
8.96,0.5,1.431,9.689
8.98,0.5,1.274,10.003
9.0,0.343,1.353,9.767
9.02,0.421,1.431,9.453
9.040000000000001,0.343,1.431,9.532
9.06,0.343,1.274,9.846
9.08,0.421,1.353,9.924
9.1,0.5,1.353,9.61
9.120000000000001,0.343,1.274,9.453
9.14,0.343,1.274,9.532
9.16,0.5,1.431,9.61
9.18,0.421,1.274,9.61
9.200000000000001,0.343,1.274,9.61
9.22,0.264,1.274,9.689
9.24,0.343,1.353,10.003
9.26,0.343,1.353,10.003
9.28,0.5,1.431,9.767
9.3,0.421,1.431,9.689
9.32,0.421,1.353,9.532
9.34,0.421,1.353,9.61
9.36,0.421,1.274,9.689
9.38,0.421,1.353,9.846
9.4,0.264,1.353,9.689
9.42,0.264,1.274,9.297
9.44,0.264,1.196,9.375
9.46,0.421,1.274,9.924
9.48,0.421,1.353,10.003
9.5,0.421,1.431,9.689
9.52,0.343,1.274,9.532
9.540000000000001,0.264,1.117,9.767
9.56,0.5,1.196,10.003
9.58,0.5,1.431,9.846
9.6,0.343,1.431,9.689
9.620000000000001,0.264,1.274,9.61
9.64,0.343,1.196,9.767
9.66,0.421,1.274,9.767
9.68,0.421,1.274,9.767
9.700000000000001,0.343,1.353,9.532
9.72,0.578,1.431,9.375
9.74,0.5,1.353,9.532
9.76,0.343,1.353,9.846
9.78,0.343,1.196,9.924
