seconds_elapsed,x,y,z
0.0,-0.012316,0.005275,6.36E-4
0.02,-0.012316,0.005275,6.36E-4
0.04,-0.0063,0.003249,0.017701
0.06,-0.0063,0.003249,0.017701
0.08,-0.008954,0.002845,0.030144
0.1,-0.008954,0.002845,0.030144
0.12,-0.007729,-0.026404,0.014856
0.14,-0.007729,-0.026404,0.014856
0.16,-0.007674,-0.04497,0.003386
0.18,-0.007674,-0.04497,0.003386
0.2,-0.008022,-0.058545,-0.007356
0.22,-0.008022,-0.058545,-0.007356
0.24,-0.009333,-0.066502,-0.011923
0.26,-0.009333,-0.066502,-0.011923
0.28,-0.02916,-0.061717,-0.013558
0.3,-0.02916,-0.061717,-0.013558
0.32,-0.032404,-0.069203,-0.022993
0.34,-0.032404,-0.069203,-0.022993
0.36,-0.039758,-0.052307,-0.021038
0.38,-0.039758,-0.052307,-0.021038
0.4,-0.034879,-0.042194,-0.026076
0.42,-0.034879,-0.042194,-0.026076
0.44,-0.023803,-0.033455,-0.030612
0.46,-0.023803,-0.033455,-0.030612
0.48,-0.023413,-0.013612,-0.02671
0.5,-0.023413,-0.013612,-0.02671
0.52,-0.025335,0.009551,-0.024377
0.54,-0.025335,0.009551,-0.024377
0.56,-0.024562,0.033452,-0.018843
0.58,-0.024562,0.033452,-0.018843
0.6,-0.018832,0.072948,-0.008176
0.62,-0.018832,0.072948,-0.008176
0.64,-0.003643,0.106935,-0.001385
0.66,-0.003643,0.106935,-0.001385
0.68,0.00533,0.15031,-0.003071
0.7000000000000001,0.00533,0.15031,-0.003071
0.72,0.005214,0.163474,-0.013045
0.74,0.005214,0.163474,-0.013045
0.76,0.004463,0.202631,-0.027703
0.78,0.004463,0.202631,-0.027703
0.8,0.015509,0.226335,-0.049355
0.8200000000000001,0.015509,0.226335,-0.049355
0.84,0.025644,0.262332,-0.060686
0.86,0.025644,0.262332,-0.060686
0.88,0.028943,0.301058,-0.063304
0.9,0.028943,0.301058,-0.063304
0.92,0.037483,0.340597,-0.062673
0.9400000000000001,0.037483,0.340597,-0.062673
0.96,0.055475,0.404994,-0.04278
0.98,0.055475,0.404994,-0.04278
1.0,0.08728,0.440602,-0.037233
1.02,0.08728,0.440602,-0.037233
1.04,0.105958,0.468529,-0.046271
1.06,0.105958,0.468529,-0.046271
1.08,0.117087,0.485658,-0.068559
1.1,0.117087,0.485658,-0.068559
1.12,0.116024,0.518376,-0.09105
1.1400000000000001,0.116024,0.518376,-0.09105
1.16,0.112786,0.566029,-0.107556
1.18,0.112786,0.566029,-0.107556
1.2,0.127424,0.62525,-0.109778
1.22,0.127424,0.62525,-0.109778
1.24,0.161611,0.699515,-0.093551
1.26,0.161611,0.699515,-0.093551
1.28,0.176898,0.734907,-0.104713
1.3,0.176898,0.734907,-0.104713
1.32,0.196052,0.799905,-0.091488
1.34,0.196052,0.799905,-0.091488
1.36,0.227864,0.834062,-0.078203
1.3800000000000001,0.227864,0.834062,-0.078203
1.4000000000000001,0.232889,0.867078,-0.069224
1.42,0.232889,0.867078,-0.069224
1.44,0.254951,0.905906,-0.037981
1.46,0.254951,0.905906,-0.037981
1.48,0.254888,0.919772,-0.028899
1.5,0.254888,0.919772,-0.028899
1.52,0.211758,0.942995,-0.043819
1.54,0.211758,0.942995,-0.043819
1.56,0.212791,0.954257,-0.027073
1.58,0.212791,0.954257,-0.027073
1.6,0.206021,0.980884,-0.017557
1.62,0.206021,0.980884,-0.017557
1.6400000000000001,0.190233,1.007295,-0.024152
1.6600000000000001,0.190233,1.007295,-0.024152
1.68,0.205331,1.04369,-4.21E-4
1.7,0.205331,1.04369,-4.21E-4
1.72,0.199987,1.035483,-0.02162
1.74,0.199987,1.035483,-0.02162
1.76,0.226198,1.057623,0.012854
1.78,0.226198,1.057623,0.012854
1.8,0.228143,1.018124,-0.023377
1.82,0.228143,1.018124,-0.023377
1.84,0.225986,0.995875,-0.047682
1.86,0.225986,0.995875,-0.047682
1.8800000000000001,0.223569,0.958804,-0.069793
1.9000000000000001,0.223569,0.958804,-0.069793
